ID,Data,Produto,Categoria,Quantidade,Preço
1,2023-04-13,Microondas,Eletrodomésticos,1,1435.0
2,2023-09-01,Microondas,Eletrodomésticos,18,4832.25
3,2023-08-29,Notebook,Eletrônicos,14,2950.6
4,2023-12-20,Sofá,Móveis,16,3843.31
5,2023-09-12,Microondas,Eletrodomésticos,9,1646.7
6,2023-06-27,Notebook,Eletrônicos,10,3540.11
7,2023-06-22,Tênis Esportivo,Calçados,16,2537.53
8,2023-05-14,Notebook,Eletrônicos,13,365.43
9,2023-11-30,Calça Jeans,Vestuário,8,112.73
10,2023-10-06,Microondas,Eletrodomésticos,5,997.17
11,2023-03-05,Microondas,Eletrodomésticos,16,4741.79
12,2023-07-25,Camiseta,Vestuário,19,4080.08
13,2023-07-18,Tênis Esportivo,Calçados,18,136.71
14,2023-07-05,Tênis Esportivo,Calçados,16,4317.29
15,2023-09-20,Sofá,Móveis,20,4051.28
17,2023-12-26,Cadeira Gamer,Móveis,10,1318.33
18,2023-02-09,Sofá,Móveis,18,3445.64
19,2023-01-29,Calça Jeans,Vestuário,15,2496.65
20,2023-01-06,Tênis Esportivo,Calçados,19,4716.78
21,2023-10-06,Notebook,Eletrônicos,9,83.05
22,2023-04-29,Notebook,Eletrônicos,18,4507.08
23,2023-07-10,Sandália,Calçados,9,3770.08
24,2023-01-12,Notebook,Eletrônicos,9,475.56
26,2023-02-01,Notebook,Eletrônicos,6,690.28
27,2023-02-07,Geladeira,Eletrodomésticos,14,182.85
28,2023-11-22,Calça Jeans,Vestuário,13,1200.04
29,2023-11-22,Sofá,Móveis,2,1263.25
30,2023-01-24,Sofá,Móveis,3,692.515
31,2023-10-04,Calça Jeans,Vestuário,13,121.78
32,2023-10-10,Sandália,Calçados,6,3522.91
33,2023-02-16,Notebook,Eletrônicos,3,4106.6
34,2023-08-03,Sandália,Calçados,11,3084.78
35,2023-10-07,Cadeira Gamer,Móveis,19,1188.87
36,2023-03-15,Sofá,Móveis,19,583.72
37,2023-01-12,Calça Jeans,Vestuário,13,2039.45
38,2023-06-21,Microondas,Eletrodomésticos,13,1494.7
39,2023-04-06,Tênis Esportivo,Calçados,6,949.95
40,2023-03-01,Smartphone,Eletrônicos,16,929.43
41,2023-09-02,Sofá,Móveis,13,3158.96
42,2023-07-02,Cadeira Gamer,Móveis,12,3451.58
43,2023-11-29,Camiseta,Vestuário,5,3790.58
44,2023-09-17,Geladeira,Eletrodomésticos,12,2547.7
45,2023-06-20,Smartphone,Eletrônicos,5,2040.06
46,2023-09-29,Sofá,Móveis,2,3391.85
47,2023-07-29,Smartphone,Eletrônicos,2,257.53
48,2023-04-04,Microondas,Eletrodomésticos,2,3820.67
49,2023-12-26,Sofá,Móveis,1,3384.87
50,2023-08-08,Sandália,Calçados,12,2997.87
